feature_set,split,model,AUC,AUC_lo,AUC_hi,PR_AUC,PRAUC_lo,PRAUC_hi,F1,F1_lo,F1_hi,train_time
kNN_baseline,Random,kNN-5,0.9404761904761905,0.8577922077922079,0.9884615384615384,0.9062422806188792,0.7691829112450315,0.983914034946896,0.7272727272727272,0.5185185185185186,0.871875,0
kNN_baseline,Subfamily,kNN-5,0.5841784989858012,0.3985073953823954,0.7581391198593467,0.5452841374777921,0.32029022605502866,0.7618561535694103,0.42857142857142855,0.16666666666666669,0.64,0
kNN_baseline,SeqCluster_0.3,kNN-5,0.8153846153846154,0.6861563855876249,0.9262759924385633,0.7701522094591646,0.606326666740645,0.9164959019134654,0.7555555555555556,0.5957159286946521,0.8837209302325582,0
kNN_baseline,SeqCluster_0.4,kNN-5,0.8571428571428572,0.7301515151515152,0.9507907196969697,0.7922946420953609,0.6040391523374831,0.9350851738675869,0.5333333333333333,0.26666666666666666,0.7223484848484848,0
