feature_set,split,model,AUC,AUC_lo,AUC_hi,PR_AUC,PRAUC_lo,PRAUC_hi,F1,F1_lo,F1_hi,train_time
ESM2_only,Random,LR,0.7103174603174603,0.5477317821067821,0.8631524725274726,0.5771386511092395,0.3930147894959067,0.8287042737048627,0.6153846153846153,0.4242424242424242,0.7692307692307693,0.011004209518432617
ESM2_only,Random,RF,0.7757936507936508,0.6256911625708884,0.9054027541973213,0.7191958658625327,0.5121336439480676,0.8890949172656678,0.3846153846153846,0.14273399014778326,0.6087560386473428,0.6999118328094482
ESM2_only,Random,SVM,0.6825396825396826,0.497619698010323,0.8538430867378236,0.5803517134899884,0.3772175057934276,0.8329071784213923,0.5333333333333333,0.2727272727272727,0.7407407407407408,0.013714790344238281
ESM2_only,Random,Ensemble,0.8432539682539683,0.7053555718475073,0.951337580290737,0.8288026910232196,0.6665587643706304,0.9450778760888255,0.6428571428571429,0.3996153846153846,0.8205882352941175,3.276268720626831
ESM2_only,Subfamily,LR,0.6105476673427992,0.4291666666666667,0.7857638888888887,0.5680744321299914,0.35508753745817956,0.7691081669706303,0.48484848484848486,0.25,0.6842105263157895,0.009082317352294922
ESM2_only,Subfamily,RF,0.5456389452332657,0.36558151486401014,0.7160366786800928,0.48917620036399984,0.2867047900303723,0.6951180664434069,0.29629629629629634,0.07407407407407408,0.5142857142857143,0.7173514366149902
ESM2_only,Subfamily,SVM,0.5557809330628803,0.3826838235294117,0.7319696969696969,0.4829637423700146,0.28606804515306317,0.6901952497910274,0.4324324324324324,0.21428571428571427,0.6191269841269841,0.013018369674682617
ESM2_only,Subfamily,Ensemble,0.7221095334685599,0.563894523326572,0.8627630090497738,0.6481676877961708,0.41716758828246664,0.8465169595756864,0.5333333333333333,0.2857142857142857,0.7273835920177382,3.291419744491577
ESM2_only,SeqCluster_0.3,LR,0.5980769230769231,0.4230750487329435,0.7523647914156321,0.5179744549672061,0.346382181374434,0.7489005092053451,0.4878048780487805,0.2940817790530846,0.6666666666666666,0.008577585220336914
ESM2_only,SeqCluster_0.3,RF,0.6384615384615384,0.45234375,0.7931419334975369,0.5617440973554013,0.3896595322222527,0.8045608764152407,0.5714285714285715,0.34261904761904766,0.7441860465116279,0.6960070133209229
ESM2_only,SeqCluster_0.3,SVM,0.6105769230769231,0.4422477458217061,0.767451923076923,0.5623901953545417,0.38108625597660506,0.7783811804380518,0.3870967741935483,0.16,0.5926426426426427,0.013615846633911133
ESM2_only,SeqCluster_0.3,Ensemble,0.7153846153846154,0.5505360983102918,0.8582636979435183,0.6591497867041347,0.47085902499927423,0.8548839070855215,0.5641025641025641,0.358974358974359,0.7346938775510203,3.2577455043792725
ESM2_only,SeqCluster_0.4,LR,0.7261904761904763,0.5635930735930735,0.8722806795131844,0.683155327218493,0.4797069130882018,0.8658805507900429,0.6666666666666666,0.4827586206896552,0.8205357142857143,0.009604930877685547
ESM2_only,SeqCluster_0.4,RF,0.7797619047619048,0.6120516909990594,0.9087701893622946,0.7449431862421853,0.5391742573101737,0.9067206443714951,0.6896551724137931,0.4444444444444444,0.8484848484848485,0.6880614757537842
ESM2_only,SeqCluster_0.4,SVM,0.8075396825396826,0.6634571501014198,0.9247311827956989,0.7837171163691983,0.5747327849673045,0.917158747130206,0.6111111111111112,0.39999999999999997,0.7728535353535352,0.014077901840209961
ESM2_only,SeqCluster_0.4,Ensemble,0.8432539682539683,0.7095211988304094,0.9542876984126983,0.8092363365580375,0.6141507519144686,0.9507908638554377,0.75,0.5454545454545455,0.8825163398692809,3.257455348968506
ESM2+HC,Random,LR,0.757936507936508,0.602066215034965,0.9021088073719652,0.6845391020987435,0.48415464121928614,0.8975028478940845,0.6666666666666666,0.4615384615384615,0.8275862068965517,0.009163379669189453
ESM2+HC,Random,RF,0.7738095238095238,0.6153125,0.9048095238095237,0.7472097405649485,0.559382915717356,0.9043296576133816,0.5185185185185185,0.25,0.7201818181818181,0.7209837436676025
ESM2+HC,Random,SVM,0.7460317460317459,0.5662452651515152,0.8904758233198502,0.6926102983191527,0.48941899062594774,0.8896145138603977,0.5806451612903226,0.32251612903225807,0.7647058823529412,0.016524076461791992
ESM2+HC,Random,Ensemble,0.8392857142857143,0.6988523629148629,0.9546583693559119,0.8262575084584509,0.6634837971819896,0.9490045713689124,0.5925925925925926,0.33333333333333337,0.7860714285714283,3.8013699054718018
ESM2+HC,Subfamily,LR,0.5496957403651115,0.35188279857397503,0.7383492782889018,0.5542798139256473,0.3151425734386315,0.7598873478930167,0.42424242424242425,0.19040178571428568,0.6153846153846153,0.00882411003112793
ESM2+HC,Subfamily,RF,0.5496957403651116,0.36940188172043015,0.7261895582996255,0.4920213878460942,0.28873915566759883,0.6958378553220597,0.2857142857142857,0.07400793650793651,0.5,0.7336843013763428
ESM2+HC,Subfamily,SVM,0.5537525354969575,0.36308648459383747,0.7344010416666665,0.5087364252828538,0.2928883801790308,0.7225552198680119,0.42424242424242425,0.1875,0.6207974137931034,0.01704859733581543
ESM2+HC,Subfamily,Ensemble,0.6693711967545639,0.4937224264705883,0.8205710955710955,0.6023309650337701,0.3641396535020036,0.8057434977034231,0.4666666666666667,0.23076923076923075,0.6666666666666666,3.798189401626587
ESM2+HC,SeqCluster_0.3,LR,0.6461538461538463,0.4645030425963489,0.7931145717463849,0.6621963906406632,0.46138058070396143,0.8336494351994858,0.5263157894736842,0.3029545454545454,0.684248120300752,0.009021759033203125
ESM2+HC,SeqCluster_0.3,RF,0.6519230769230769,0.4798177083333333,0.8015502377269864,0.5902049014196536,0.4055801110085915,0.8150672878617244,0.4375,0.2067241379310345,0.6285714285714286,0.7203307151794434
ESM2+HC,SeqCluster_0.3,SVM,0.7173076923076923,0.5615061549194347,0.8542103494623656,0.6232632903144407,0.44566152811964904,0.8414102328536853,0.5,0.27018018018018014,0.6939219165927241,0.01807260513305664
ESM2+HC,SeqCluster_0.3,Ensemble,0.7576923076923077,0.6104776110586012,0.8806874570372916,0.6968115555751673,0.5033670428177265,0.8891970974792768,0.5714285714285715,0.35294117647058826,0.742890365448505,3.8100950717926025
ESM2+HC,SeqCluster_0.4,LR,0.7003968253968255,0.5499810606060606,0.8591269841269841,0.6309250946766862,0.4285972053257592,0.8364681011743268,0.5714285714285715,0.3782939189189189,0.7333673469387756,0.008930683135986328
ESM2+HC,SeqCluster_0.4,RF,0.7638888888888888,0.6020967741935485,0.8979206730769231,0.7140130688695835,0.5155148442681622,0.8920437893171262,0.5806451612903226,0.3333333333333333,0.7647058823529411,0.7264766693115234
ESM2+HC,SeqCluster_0.4,SVM,0.8075396825396826,0.6614516129032257,0.9192519493177387,0.7590408805153058,0.5420754101325366,0.9092197393966548,0.6341463414634146,0.4242424242424242,0.782608695652174,0.01771068572998047
ESM2+HC,SeqCluster_0.4,Ensemble,0.8611111111111112,0.7315490039261305,0.9655679513184583,0.8336473711473713,0.654106496634704,0.9588785384482534,0.7647058823529411,0.5598888888888889,0.8947822141560798,3.804114818572998
Handcrafted,Random,LR,0.6428571428571429,0.4624719186896116,0.8152857142857142,0.5093628167641325,0.34070975413804044,0.7675160804950067,0.5555555555555556,0.33310810810810804,0.717948717948718,0.0045070648193359375
Handcrafted,Random,RF,0.7579365079365079,0.5915835478335478,0.9006311850759111,0.7129508566029857,0.5127820575058337,0.8926554207457394,0.27272727272727276,0.0,0.5,0.44496726989746094
Handcrafted,Random,SVM,0.8134920634920635,0.6718631148580122,0.9308035714285714,0.7753334728566927,0.582120205026455,0.9160526288916895,0.5517241379310345,0.31558704453441294,0.7407407407407408,0.009331226348876953
Handcrafted,Random,Ensemble,0.7996031746031745,0.6408147519619637,0.9305675287356322,0.7701198627503376,0.5868636564884613,0.9181843620934262,0.48,0.2222222222222222,0.6923076923076923,1.0546159744262695
Handcrafted,Subfamily,LR,0.5152129817444219,0.31189339393602433,0.7009554531490014,0.4322053663382033,0.24965679811174343,0.6870908344343732,0.46511627906976744,0.25625,0.6382978723404256,0.004287242889404297
Handcrafted,Subfamily,RF,0.48073022312373226,0.29457901695160826,0.6647321428571428,0.4401573960369374,0.24770372527631543,0.6647842935017061,0.31999999999999995,0.08695652173913045,0.5454545454545455,0.45482850074768066
Handcrafted,Subfamily,SVM,0.5659229208924949,0.36103740657493194,0.7505852534562212,0.4711997728762122,0.2717115621517342,0.733885785128237,0.5405405405405405,0.2962962962962963,0.7222222222222222,0.008134841918945312
Handcrafted,Subfamily,Ensemble,0.5091277890466531,0.3074900793650794,0.7024175824175825,0.44960314156451386,0.2510018608743253,0.6873788989811204,0.4666666666666667,0.2067241379310345,0.684248120300752,1.058556079864502
Handcrafted,SeqCluster_0.3,LR,0.6942307692307692,0.5243664717348928,0.838467741935484,0.7222929287994269,0.5431417756920529,0.8632295171465835,0.6,0.4,0.7501179245283018,0.0035026073455810547
Handcrafted,SeqCluster_0.3,RF,0.6557692307692308,0.49398214285714287,0.7968821310851927,0.5952794922634328,0.40463123611085816,0.8110215082735387,0.41379310344827586,0.1739130434782609,0.6153846153846153,0.45557618141174316
Handcrafted,SeqCluster_0.3,SVM,0.7865384615384615,0.6374138471177944,0.9104761904761904,0.6942364562931513,0.5169984271241761,0.9115805243127165,0.75,0.5789473684210527,0.8837209302325582,0.008074045181274414
Handcrafted,SeqCluster_0.3,Ensemble,0.6884615384615385,0.5242690058479532,0.8276988636363637,0.6182476032529526,0.42941264447350436,0.8343840237925738,0.4375,0.21410098522167487,0.6428571428571428,1.0440452098846436
Handcrafted,SeqCluster_0.4,LR,0.6448412698412698,0.4967674261222648,0.8014735060690943,0.5392703544901647,0.3546569350360633,0.7641385292057237,0.5957446808510638,0.41172699849170435,0.7457627118644068,0.0035066604614257812
Handcrafted,SeqCluster_0.4,RF,0.7619047619047619,0.6170535714285714,0.8947822141560798,0.6555727480287514,0.45288167096276855,0.854844593063578,0.5454545454545454,0.3029545454545455,0.7272727272727272,0.4425809383392334
Handcrafted,SeqCluster_0.4,SVM,0.7738095238095238,0.637485119047619,0.8997873471557682,0.638598609605811,0.4456257228930411,0.865213300197831,0.6666666666666666,0.4827586206896552,0.8163265306122449,0.008778810501098633
Handcrafted,SeqCluster_0.4,Ensemble,0.7797619047619048,0.637047684597599,0.9067616909712846,0.6967082530978058,0.4983025166807281,0.8851579238062619,0.6666666666666666,0.4666666666666667,0.8333333333333333,1.0471725463867188
kNN_baseline,Random,kNN-5,0.9404761904761905,0.8577922077922079,0.9884615384615384,0.9062422806188792,0.7691829112450315,0.983914034946896,0.7272727272727272,0.5185185185185186,0.871875,0.0
kNN_baseline,Subfamily,kNN-5,0.5841784989858012,0.3985073953823954,0.7581391198593467,0.5452841374777921,0.32029022605502866,0.7618561535694103,0.42857142857142855,0.16666666666666669,0.64,0.0
kNN_baseline,SeqCluster_0.3,kNN-5,0.8153846153846154,0.6861563855876249,0.9262759924385633,0.7701522094591646,0.606326666740645,0.9164959019134654,0.7555555555555556,0.5957159286946521,0.8837209302325582,0.0
kNN_baseline,SeqCluster_0.4,kNN-5,0.8571428571428572,0.7301515151515152,0.9507907196969697,0.7922946420953609,0.6040391523374831,0.9350851738675869,0.5333333333333333,0.26666666666666666,0.7223484848484848,0.0
Handcrafted,,LR,0.5152129817444219,0.31189339393602433,0.7009554531490014,0.4322053663382033,0.24965679811174343,0.6870908344343732,0.46511627906976744,0.25625,0.6382978723404256,
Handcrafted,,RF,0.48073022312373226,0.29457901695160826,0.6647321428571428,0.4401573960369374,0.24770372527631543,0.6647842935017061,0.31999999999999995,0.08695652173913045,0.5454545454545455,
Handcrafted,,SVM,0.5659229208924949,0.36103740657493194,0.7505852534562212,0.4711997728762122,0.2717115621517342,0.733885785128237,0.5405405405405405,0.2962962962962963,0.7222222222222222,
Handcrafted,,Ensemble,0.5091277890466531,0.3074900793650794,0.7024175824175825,0.44960314156451386,0.2510018608743253,0.6873788989811204,0.4666666666666667,0.2067241379310345,0.684248120300752,
BW-site,,LR,0.7119675456389452,0.515297619047619,0.8889880952380952,0.7323550328534094,0.5360245504891041,0.8930001666408026,0.5217391304347826,0.3255813953488372,0.6799999999999999,
BW-site,,RF,0.7241379310344827,0.5525499275499275,0.8722616632860041,0.6092088421699436,0.39715278518031594,0.8327730374418181,0.5555555555555555,0.3333333333333333,0.7222517730496454,
BW-site,,SVM,0.6713995943204868,0.4666666666666667,0.8618737568737568,0.702567572404016,0.4730155354886369,0.8740902996479812,0.5789473684210527,0.3748842592592592,0.7428903654485048,
BW-site,,Ensemble,0.7383367139959431,0.5570769074675324,0.900839732444702,0.7025869405965165,0.5020392978992602,0.9084922303771679,0.5641025641025642,0.3683014354066985,0.7272727272727272,
Combined,,LR,0.6734279918864098,0.48,0.8571567808409915,0.6452530974812809,0.40328345129795945,0.8400984343052079,0.5116279069767442,0.31578947368421056,0.6808510638297872,
Combined,,RF,0.515212981744422,0.3160693297786951,0.693850469066937,0.41615822105589134,0.2460396232933226,0.6611834195349029,0.24,0.0,0.43750000000000006,
Combined,,SVM,0.6774847870182555,0.47549350649350647,0.8551587301587302,0.6961176960639508,0.46785502590022043,0.8634758570269636,0.5,0.27572227399813604,0.6800212765957447,
Combined,,Ensemble,0.6064908722109534,0.41662634408602145,0.7757936507936508,0.5088130739421436,0.300526517009002,0.7411338405790416,0.45161290322580644,0.19999999999999998,0.6486486486486486,
